id_encuestador,latitud,longitud,municipio,municipio_texto,P19_1_texto,P19_2_texto,seccion_electoral,Creation Date,Modified Date
2,,,1,Acapulco,,,204,"Dec 4, 2025 12:08 pm","Dec 4, 2025 12:15 pm"
180,,,1,Acapulco,,,138,"Dec 4, 2025 12:09 pm","Dec 4, 2025 12:12 pm"
180,,,1,Acapulco,,,138,"Dec 4, 2025 12:09 pm","Dec 4, 2025 12:09 pm"
150,,,1,Acapulco,Jacinto González Varona,Iván Hernández Díaz,157,"Dec 4, 2025 12:09 pm","Dec 4, 2025 12:29 pm"
2,,,1,Acapulco,Jacinto González Varona,Iván Hernández Díaz,330,"Dec 4, 2025 12:10 pm","Dec 4, 2025 12:28 pm"
150,16.8639515,-99.8822807,1,Acapulco,,,2824,"Dec 4, 2025 12:10 pm","Dec 4, 2025 12:22 pm"
150,,,1,Acapulco,,,169,"Dec 4, 2025 12:10 pm","Dec 4, 2025 12:10 pm"
150,,,1,Acapulco,Jacinto González Varona,Iván Hernández Díaz,149,"Dec 4, 2025 12:11 pm","Dec 4, 2025 12:26 pm"
1,,,1,Acapulco,Jacinto González Varona,Iván Hernández Díaz,228,"Dec 4, 2025 12:11 pm","Dec 4, 2025 12:27 pm"
1,,,1,Acapulco,,,284,"Dec 4, 2025 12:11 pm","Dec 4, 2025 12:11 pm"
1,,,1,Acapulco,,,32,"Dec 4, 2025 12:11 pm","Dec 4, 2025 12:16 pm"
150,,,1,Acapulco,,,157,"Dec 4, 2025 12:12 pm","Dec 4, 2025 12:13 pm"
1,,,1,Acapulco,,,32,"Dec 4, 2025 12:13 pm","Dec 4, 2025 12:13 pm"
1,,,1,Acapulco,,,284,"Dec 4, 2025 12:13 pm","Dec 4, 2025 12:13 pm"
1,,,1,Acapulco,,,284,"Dec 4, 2025 12:14 pm","Dec 4, 2025 6:27 pm"
1,,,1,Acapulco,,,284,"Dec 4, 2025 12:14 pm","Dec 4, 2025 12:14 pm"
122,,,1,Acapulco,Iván Hernández Díaz,Jacinto González Varona,189,"Dec 4, 2025 12:14 pm","Dec 4, 2025 12:24 pm"
120,,,1,Acapulco,,,150,"Dec 4, 2025 12:14 pm","Dec 4, 2025 12:14 pm"
1,,,1,Acapulco,Beatriz Mojica Morga,Iván Hernández Díaz,28,"Dec 4, 2025 12:16 pm","Dec 4, 2025 12:51 pm"
150,,,1,Acapulco,Iván Hernández Díaz,Jacinto González Varona,18,"Dec 4, 2025 12:19 pm","Dec 4, 2025 12:32 pm"
123,,,1,Acapulco,Jacinto González Varona,Iván Hernández Díaz,317,"Dec 4, 2025 12:19 pm","Dec 4, 2025 12:33 pm"
1,,,1,Acapulco,,,20,"Dec 4, 2025 12:19 pm","Dec 4, 2025 12:19 pm"
123,,,1,Acapulco,,,111,"Dec 4, 2025 12:20 pm","Dec 4, 2025 12:21 pm"
123,,,1,Acapulco,Jacinto González Varona,Ninguno (NO LEER),121,"Dec 4, 2025 12:20 pm","Dec 4, 2025 12:33 pm"
