id_encuestador,latitud,longitud,municipio,municipio_texto,P19_1_texto,P19_2_texto,seccion_electoral,Creation Date,Modified Date
238,,,2,Chilpancingo,,,1219,"Dec 4, 2025 6:21 pm","Dec 4, 2025 6:26 pm"
237,17.5538483,-99.5020972,2,Chilpancingo,Iván Hernández Díaz,Jacinto González Varona,1219,"Dec 4, 2025 6:21 pm","Dec 4, 2025 6:39 pm"
238,17.6513942,-99.5208986,2,Chilpancingo,Iván Hernández Díaz,Jacinto González Varona,1219,"Dec 4, 2025 6:21 pm","Dec 4, 2025 6:46 pm"
238,,,2,Chilpancingo,,,1219,"Dec 4, 2025 6:21 pm","Dec 4, 2025 6:24 pm"
238,17.5508259,-99.5014623,2,Chilpancingo,Iván Hernández Díaz,Jacinto González Varona,1219,"Dec 4, 2025 6:21 pm","Dec 4, 2025 6:38 pm"
238,17.5538483,-99.5020972,2,Chilpancingo,,,1219,"Dec 4, 2025 6:21 pm","Dec 4, 2025 6:35 pm"
234,17.5568621,-99.5009074,2,Chilpancingo,Iván Hernández Díaz,Jacinto González Varona,1219,"Dec 4, 2025 6:21 pm","Dec 4, 2025 6:37 pm"
238,17.5536769,-99.5023536,2,Chilpancingo,Iván Hernández Díaz,Félix Salgado Macedonio,1219,"Dec 4, 2025 6:21 pm","Dec 4, 2025 6:38 pm"
238,,,2,Chilpancingo,,,1219,"Dec 4, 2025 6:21 pm","Dec 4, 2025 6:40 pm"
238,,,2,Chilpancingo,,,1219,"Dec 4, 2025 6:21 pm","Dec 4, 2025 6:21 pm"
