seccion,nombre_municipio,grupo_supervisor,encuestas_totales
26,ACAPULCO DE JUAREZ,3,12
9,ACAPULCO DE JUAREZ,5,12
17,ACAPULCO DE JUAREZ,5,12
19,ACAPULCO DE JUAREZ,5,12
21,ACAPULCO DE JUAREZ,5,12
31,ACAPULCO DE JUAREZ,5,12
52,ACAPULCO DE JUAREZ,3,12
56,ACAPULCO DE JUAREZ,3,12
60,ACAPULCO DE JUAREZ,3,12
79,ACAPULCO DE JUAREZ,3,12
220,ACAPULCO DE JUAREZ,7,12
105,ACAPULCO DE JUAREZ,1,12
111,ACAPULCO DE JUAREZ,2,12
114,ACAPULCO DE JUAREZ,4,12
113,ACAPULCO DE JUAREZ,4,12
120,ACAPULCO DE JUAREZ,4,12
121,ACAPULCO DE JUAREZ,2,12
124,ACAPULCO DE JUAREZ,5,12
125,ACAPULCO DE JUAREZ,5,12
133,ACAPULCO DE JUAREZ,4,12
142,ACAPULCO DE JUAREZ,2,12
143,ACAPULCO DE JUAREZ,2,12
145,ACAPULCO DE JUAREZ,2,12
165,ACAPULCO DE JUAREZ,2,12
171,ACAPULCO DE JUAREZ,2,12
192,ACAPULCO DE JUAREZ,7,12
197,ACAPULCO DE JUAREZ,7,12
225,ACAPULCO DE JUAREZ,7,12
229,ACAPULCO DE JUAREZ,7,12
256,ACAPULCO DE JUAREZ,7,12
271,ACAPULCO DE JUAREZ,7,12
