seccion_electoral,municipio,municipio_texto,id_encuestador,latitud,longitud,fecha_hora,Modified Date,tiene_gps
125,1,Acapulco,10502,,,2025-12-05 09:38:00,"Dec 5, 2025 9:38 am",False
1521,3,Iguala,222,,,2025-12-05 09:43:00,"Dec 5, 2025 9:50 am",False
305,1,Acapulco,10110,,,2025-12-05 09:44:00,"Dec 5, 2025 10:07 am",False
305,1,Acapulco,10111,,,2025-12-05 09:44:00,"Dec 5, 2025 10:03 am",False
165,1,Acapulco,10363,,,2025-12-05 09:44:00,"Dec 5, 2025 10:01 am",False
305,1,Acapulco,10112,,,2025-12-05 09:44:00,"Dec 5, 2025 10:28 am",False
305,1,Acapulco,10109,,,2025-12-05 09:45:00,"Dec 5, 2025 10:24 am",False
296,1,Acapulco,10803,,,2025-12-05 09:45:00,"Dec 5, 2025 10:01 am",False
305,1,Acapulco,10108,16.8623117,-99.8089298,2025-12-05 09:45:00,"Dec 5, 2025 10:56 am",True
305,1,Acapulco,10108,,,2025-12-05 09:45:00,"Dec 5, 2025 9:45 am",False
270,2,Chilpancingo,2310,,,2025-12-05 09:45:00,"Dec 5, 2025 9:45 am",False
305,1,Acapulco,10107,,,2025-12-05 09:46:00,"Dec 5, 2025 9:46 am",False
105,1,Acapulco,26,,,2025-12-05 09:46:00,"Dec 5, 2025 9:46 am",False
1259,2,Chilpancingo,225,17.5430005,-99.5220455,2025-12-05 09:47:00,"Dec 5, 2025 10:27 am",True
279,1,Acapulco,10171,,,2025-12-05 09:47:00,"Dec 5, 2025 10:06 am",False
145,1,Acapulco,10361,,,2025-12-05 09:49:00,"Dec 5, 2025 10:17 am",False
1259,2,Chilpancingo,223,17.5430005,-99.5220455,2025-12-05 09:48:00,"Dec 5, 2025 10:08 am",True
1218,2,Chilpancingo,229,,,2025-12-05 09:51:00,"Dec 5, 2025 9:51 am",False
111,1,Acapulco,10359,16.9200333,-99.8417862,2025-12-05 09:52:00,"Dec 5, 2025 10:23 am",True
279,1,Acapulco,10120,16.8626773,-99.8415367,2025-12-05 09:53:00,"Dec 5, 2025 10:18 am",True
279,1,Acapulco,10119,,,2025-12-05 09:53:00,"Dec 5, 2025 10:29 am",False
279,1,Acapulco,10168,16.8626773,-99.8415367,2025-12-05 09:54:00,"Dec 5, 2025 10:39 am",True
279,1,Acapulco,69,-22.8632391,-46.0386081,2025-12-05 09:54:00,"Dec 5, 2025 10:44 am",True
118,1,Acapulco,10403,,,2025-12-05 09:54:00,"Dec 5, 2025 10:10 am",False
118,1,Acapulco,10403,,,2025-12-05 09:55:00,"Dec 5, 2025 10:06 am",False
37,1,Acapulco,24,,,2025-12-05 09:56:00,"Dec 5, 2025 10:11 am",False
145,1,Acapulco,10362,,,2025-12-05 09:56:00,"Dec 5, 2025 10:24 am",False
52,1,Acapulco,16,16.8970065,-99.8208632,2025-12-05 09:57:00,"Dec 5, 2025 9:59 am",True
171,1,Acapulco,10342,,,2025-12-05 09:56:00,"Dec 5, 2025 10:51 am",False
136,1,Acapulco,10411,,,2025-12-05 09:57:00,"Dec 5, 2025 10:03 am",False
229,1,Acapulco,10344,,,2025-12-05 09:57:00,"Dec 5, 2025 10:28 am",False
37,1,Acapulco,34,,,2025-12-05 09:58:00,"Dec 5, 2025 10:15 am",False
37,1,Acapulco,33,,,2025-12-05 09:58:00,"Dec 5, 2025 10:14 am",False
229,1,Acapulco,10345,,,2025-12-05 09:58:00,"Dec 5, 2025 10:13 am",False
121,1,Acapulco,10356,,,2025-12-05 09:59:00,"Dec 5, 2025 10:21 am",False
305,1,Acapulco,10107,,,2025-12-05 10:00:00,"Dec 5, 2025 10:16 am",False
